MazeType,Time (ms),Width,Height
Release-RecursiveMazeGen-5,2.3621,5,5
Release-HuntKillMazeGen-5,2.1038,5,5
Release-RecursiveMazeGen-7,0.0129,7,7
Release-HuntKillMazeGen-7,0.017,7,7
Release-RecursiveMazeGen-9,0.0046,9,9
Release-HuntKillMazeGen-9,0.0063,9,9
Release-RecursiveMazeGen-11,0.0052,11,11
Release-HuntKillMazeGen-11,0.0133,11,11
Release-RecursiveMazeGen-13,0.0114,13,13
Release-HuntKillMazeGen-13,0.0084,13,13
Release-RecursiveMazeGen-15,0.0076,15,15
Release-HuntKillMazeGen-15,0.0139,15,15
Release-RecursiveMazeGen-17,0.0194,17,17
Release-HuntKillMazeGen-17,0.0195,17,17
Release-RecursiveMazeGen-19,0.0164,19,19
Release-HuntKillMazeGen-19,0.0191,19,19
Release-RecursiveMazeGen-21,0.0174,21,21
Release-HuntKillMazeGen-21,0.0217,21,21
Release-RecursiveMazeGen-23,0.0238,23,23
Release-HuntKillMazeGen-23,0.0279,23,23
Release-RecursiveMazeGen-25,0.0405,25,25
Release-HuntKillMazeGen-25,0.0266,25,25
Release-RecursiveMazeGen-27,0.031,27,27
Release-HuntKillMazeGen-27,0.0285,27,27
Release-RecursiveMazeGen-29,0.0362,29,29
Release-HuntKillMazeGen-29,0.0369,29,29
Release-RecursiveMazeGen-31,0.0358,31,31
Release-HuntKillMazeGen-31,0.0398,31,31
Release-RecursiveMazeGen-33,0.0563,33,33
Release-HuntKillMazeGen-33,0.0503,33,33
Release-RecursiveMazeGen-35,0.0475,35,35
Release-HuntKillMazeGen-35,0.0477,35,35
Release-RecursiveMazeGen-37,0.0626,37,37
Release-HuntKillMazeGen-37,0.0539,37,37
Release-RecursiveMazeGen-39,0.053,39,39
Release-HuntKillMazeGen-39,0.0525,39,39
Release-RecursiveMazeGen-41,0.0604,41,41
Release-HuntKillMazeGen-41,0.0682,41,41
Release-RecursiveMazeGen-43,0.0787,43,43
Release-HuntKillMazeGen-43,0.0712,43,43
Release-RecursiveMazeGen-45,0.0707,45,45
Release-HuntKillMazeGen-45,0.0777,45,45
Release-RecursiveMazeGen-47,0.0766,47,47
Release-HuntKillMazeGen-47,0.0826,47,47
Release-RecursiveMazeGen-49,0.087,49,49
Release-HuntKillMazeGen-49,0.0926,49,49
Release-RecursiveMazeGen-51,0.0965,51,51
Release-HuntKillMazeGen-51,0.1029,51,51
Release-RecursiveMazeGen-53,0.1003,53,53
Release-HuntKillMazeGen-53,0.1059,53,53
Release-RecursiveMazeGen-55,0.1517,55,55
Release-HuntKillMazeGen-55,0.1071,55,55
Release-RecursiveMazeGen-57,0.1178,57,57
Release-HuntKillMazeGen-57,0.1113,57,57
Release-RecursiveMazeGen-59,0.1186,59,59
Release-HuntKillMazeGen-59,0.1299,59,59
Release-RecursiveMazeGen-61,0.1276,61,61
Release-HuntKillMazeGen-61,0.1372,61,61
Release-RecursiveMazeGen-63,0.1403,63,63
Release-HuntKillMazeGen-63,0.1521,63,63
Release-RecursiveMazeGen-65,0.1602,65,65
Release-HuntKillMazeGen-65,0.1477,65,65
Release-RecursiveMazeGen-67,0.1464,67,67
Release-HuntKillMazeGen-67,0.1886,67,67
Release-RecursiveMazeGen-69,0.1802,69,69
Release-HuntKillMazeGen-69,0.2494,69,69
Release-RecursiveMazeGen-71,0.2212,71,71
Release-HuntKillMazeGen-71,0.185,71,71
Release-RecursiveMazeGen-73,0.18,73,73
Release-HuntKillMazeGen-73,0.179,73,73
Release-RecursiveMazeGen-75,0.4599,75,75
Release-HuntKillMazeGen-75,0.2533,75,75
Release-RecursiveMazeGen-77,0.2632,77,77
Release-HuntKillMazeGen-77,1.6546,77,77
Release-RecursiveMazeGen-79,0.1765,79,79
Release-HuntKillMazeGen-79,0.4041,79,79
Release-RecursiveMazeGen-81,0.1823,81,81
Release-HuntKillMazeGen-81,0.1489,81,81
Release-RecursiveMazeGen-83,0.2083,83,83
Release-HuntKillMazeGen-83,0.1543,83,83
Release-RecursiveMazeGen-85,0.1965,85,85
Release-HuntKillMazeGen-85,0.2434,85,85
Release-RecursiveMazeGen-87,0.2266,87,87
Release-HuntKillMazeGen-87,0.3471,87,87
Release-RecursiveMazeGen-89,0.2145,89,89
Release-HuntKillMazeGen-89,0.1738,89,89
Release-RecursiveMazeGen-91,0.2334,91,91
Release-HuntKillMazeGen-91,0.1786,91,91
Release-RecursiveMazeGen-93,0.2285,93,93
Release-HuntKillMazeGen-93,0.2333,93,93
Release-RecursiveMazeGen-95,0.2555,95,95
Release-HuntKillMazeGen-95,0.292,95,95
Release-RecursiveMazeGen-97,0.2688,97,97
Release-HuntKillMazeGen-97,0.2104,97,97
Release-RecursiveMazeGen-99,0.2859,99,99
Release-HuntKillMazeGen-99,0.223,99,99
Release-RecursiveMazeGen-101,0.3925,101,101
Release-HuntKillMazeGen-101,0.2319,101,101
Release-RecursiveMazeGen-103,0.2934,103,103
Release-HuntKillMazeGen-103,0.3903,103,103
Release-RecursiveMazeGen-105,1.3415,105,105
Release-HuntKillMazeGen-105,0.2381,105,105
Release-RecursiveMazeGen-107,0.3437,107,107
Release-HuntKillMazeGen-107,0.2478,107,107
Release-RecursiveMazeGen-109,0.4345,109,109
Release-HuntKillMazeGen-109,0.2618,109,109
Release-RecursiveMazeGen-111,0.3364,111,111
Release-HuntKillMazeGen-111,0.2836,111,111
Release-RecursiveMazeGen-113,0.4616,113,113
Release-HuntKillMazeGen-113,0.28,113,113
Release-RecursiveMazeGen-115,0.3875,115,115
Release-HuntKillMazeGen-115,0.3445,115,115
Release-RecursiveMazeGen-117,0.3739,117,117
Release-HuntKillMazeGen-117,0.2933,117,117
Release-RecursiveMazeGen-119,0.3689,119,119
Release-HuntKillMazeGen-119,0.3207,119,119
Release-RecursiveMazeGen-121,0.3929,121,121
Release-HuntKillMazeGen-121,0.52,121,121
Release-RecursiveMazeGen-123,0.4155,123,123
Release-HuntKillMazeGen-123,0.3337,123,123
Release-RecursiveMazeGen-125,0.437,125,125
Release-HuntKillMazeGen-125,0.3479,125,125
Release-RecursiveMazeGen-127,0.4658,127,127
Release-HuntKillMazeGen-127,0.3461,127,127
Release-RecursiveMazeGen-129,0.4664,129,129
Release-HuntKillMazeGen-129,0.3565,129,129
Release-RecursiveMazeGen-131,0.7267,131,131
Release-HuntKillMazeGen-131,0.4323,131,131
Release-RecursiveMazeGen-133,0.5007,133,133
Release-HuntKillMazeGen-133,0.4333,133,133
Release-RecursiveMazeGen-135,0.4815,135,135
Release-HuntKillMazeGen-135,0.7001,135,135
Release-RecursiveMazeGen-137,0.5683,137,137
Release-HuntKillMazeGen-137,0.3965,137,137
Release-RecursiveMazeGen-139,0.4875,139,139
Release-HuntKillMazeGen-139,0.4113,139,139
Release-RecursiveMazeGen-141,0.6779,141,141
Release-HuntKillMazeGen-141,0.4455,141,141
Release-RecursiveMazeGen-143,0.5808,143,143
Release-HuntKillMazeGen-143,0.473,143,143
Release-RecursiveMazeGen-145,0.6389,145,145
Release-HuntKillMazeGen-145,0.4681,145,145
Release-RecursiveMazeGen-147,0.5766,147,147
Release-HuntKillMazeGen-147,0.6641,147,147
Release-RecursiveMazeGen-149,0.6001,149,149
Release-HuntKillMazeGen-149,0.5245,149,149
Release-RecursiveMazeGen-151,0.6665,151,151
Release-HuntKillMazeGen-151,0.4964,151,151
Release-RecursiveMazeGen-153,0.615,153,153
Release-HuntKillMazeGen-153,0.4951,153,153
Release-RecursiveMazeGen-155,0.6251,155,155
Release-HuntKillMazeGen-155,0.5105,155,155
Release-RecursiveMazeGen-157,0.6384,157,157
Release-HuntKillMazeGen-157,0.7014,157,157
Release-RecursiveMazeGen-159,0.6652,159,159
Release-HuntKillMazeGen-159,0.5469,159,159
Release-RecursiveMazeGen-161,1.0651,161,161
Release-HuntKillMazeGen-161,0.5584,161,161
Release-RecursiveMazeGen-163,0.7154,163,163
Release-HuntKillMazeGen-163,0.5618,163,163
Release-RecursiveMazeGen-165,0.7966,165,165
Release-HuntKillMazeGen-165,1.0393,165,165
Release-RecursiveMazeGen-167,0.7388,167,167
Release-HuntKillMazeGen-167,0.5831,167,167
Release-RecursiveMazeGen-169,0.7641,169,169
Release-HuntKillMazeGen-169,0.6581,169,169
Release-RecursiveMazeGen-171,0.9489,171,171
Release-HuntKillMazeGen-171,0.6998,171,171
Release-RecursiveMazeGen-173,0.7449,173,173
Release-HuntKillMazeGen-173,1.1233,173,173
Release-RecursiveMazeGen-175,1.024,175,175
Release-HuntKillMazeGen-175,0.5449,175,175
Release-RecursiveMazeGen-177,0.7954,177,177
Release-HuntKillMazeGen-177,0.6358,177,177
Release-RecursiveMazeGen-179,0.7988,179,179
Release-HuntKillMazeGen-179,0.595,179,179
Release-RecursiveMazeGen-181,0.9001,181,181
Release-HuntKillMazeGen-181,0.7646,181,181
Release-RecursiveMazeGen-183,0.8198,183,183
Release-HuntKillMazeGen-183,0.6915,183,183
Release-RecursiveMazeGen-185,0.8737,185,185
Release-HuntKillMazeGen-185,0.5755,185,185
Release-RecursiveMazeGen-187,0.9387,187,187
Release-HuntKillMazeGen-187,1.0655,187,187
Release-RecursiveMazeGen-189,0.8993,189,189
Release-HuntKillMazeGen-189,0.6213,189,189
Release-RecursiveMazeGen-191,0.918,191,191
Release-HuntKillMazeGen-191,0.621,191,191
Release-RecursiveMazeGen-193,0.9738,193,193
Release-HuntKillMazeGen-193,0.6459,193,193
Release-RecursiveMazeGen-195,1.3285,195,195
Release-HuntKillMazeGen-195,0.6688,195,195
Release-RecursiveMazeGen-197,0.9454,197,197
Release-HuntKillMazeGen-197,0.6529,197,197
Release-RecursiveMazeGen-199,1.0749,199,199
Release-HuntKillMazeGen-199,0.6914,199,199
Release-RecursiveMazeGen-201,1.2723,201,201
Release-HuntKillMazeGen-201,0.72,201,201
Release-RecursiveMazeGen-203,1.3316,203,203
Release-HuntKillMazeGen-203,0.9011,203,203
Release-RecursiveMazeGen-205,1.0656,205,205
Release-HuntKillMazeGen-205,1.1398,205,205
Release-RecursiveMazeGen-207,1.4576,207,207
Release-HuntKillMazeGen-207,0.7286,207,207
Release-RecursiveMazeGen-209,1.0619,209,209
Release-HuntKillMazeGen-209,0.7435,209,209
Release-RecursiveMazeGen-211,1.2415,211,211
Release-HuntKillMazeGen-211,1.0746,211,211
Release-RecursiveMazeGen-213,1.1222,213,213
Release-HuntKillMazeGen-213,0.8278,213,213
Release-RecursiveMazeGen-215,1.1108,215,215
Release-HuntKillMazeGen-215,0.8334,215,215
Release-RecursiveMazeGen-217,1.1448,217,217
Release-HuntKillMazeGen-217,1.1408,217,217
Release-RecursiveMazeGen-219,1.2068,219,219
Release-HuntKillMazeGen-219,0.8148,219,219
Release-RecursiveMazeGen-221,1.2487,221,221
Release-HuntKillMazeGen-221,1.0423,221,221
Release-RecursiveMazeGen-223,1.4067,223,223
Release-HuntKillMazeGen-223,0.891,223,223
Release-RecursiveMazeGen-225,1.5676,225,225
Release-HuntKillMazeGen-225,1.482,225,225
Release-RecursiveMazeGen-227,1.2954,227,227
Release-HuntKillMazeGen-227,0.9433,227,227
Release-RecursiveMazeGen-229,1.3717,229,229
Release-HuntKillMazeGen-229,1.2579,229,229
Release-RecursiveMazeGen-231,1.5587,231,231
Release-HuntKillMazeGen-231,0.9625,231,231
Release-RecursiveMazeGen-233,1.3392,233,233
Release-HuntKillMazeGen-233,1.1333,233,233
Release-RecursiveMazeGen-235,2.9533,235,235
Release-HuntKillMazeGen-235,1.134,235,235
Release-RecursiveMazeGen-237,1.7434,237,237
Release-HuntKillMazeGen-237,1.0323,237,237
Release-RecursiveMazeGen-239,4.3734,239,239
Release-HuntKillMazeGen-239,1.1978,239,239
Release-RecursiveMazeGen-241,1.6233,241,241
Release-HuntKillMazeGen-241,1.1571,241,241
Release-RecursiveMazeGen-243,4.6828,243,243
Release-HuntKillMazeGen-243,0.9879,243,243
Release-RecursiveMazeGen-245,1.5237,245,245
Release-HuntKillMazeGen-245,1.1408,245,245
Release-RecursiveMazeGen-247,3.502,247,247
Release-HuntKillMazeGen-247,1.0457,247,247
Release-RecursiveMazeGen-249,1.4882,249,249
Release-HuntKillMazeGen-249,1.3409,249,249
Release-RecursiveMazeGen-251,1.6066,251,251
Release-HuntKillMazeGen-251,1.0825,251,251
Release-RecursiveMazeGen-253,1.6069,253,253
Release-HuntKillMazeGen-253,1.6566,253,253
Release-RecursiveMazeGen-255,1.5746,255,255
Release-HuntKillMazeGen-255,1.0883,255,255
Debug-RecursiveMazeGen-5,2.1612,5,5
Debug-HuntKillMazeGen-5,1.9366,5,5
Debug-RecursiveMazeGen-7,0.0185,7,7
Debug-HuntKillMazeGen-7,0.0213,7,7
Debug-RecursiveMazeGen-9,0.0034,9,9
Debug-HuntKillMazeGen-9,0.0155,9,9
Debug-RecursiveMazeGen-11,0.0091,11,11
Debug-HuntKillMazeGen-11,0.018,11,11
Debug-RecursiveMazeGen-13,0.0054,13,13
Debug-HuntKillMazeGen-13,0.0205,13,13
Debug-RecursiveMazeGen-15,0.0125,15,15
Debug-HuntKillMazeGen-15,0.0744,15,15
Debug-RecursiveMazeGen-17,0.0149,17,17
Debug-HuntKillMazeGen-17,0.0331,17,17
Debug-RecursiveMazeGen-19,0.0146,19,19
Debug-HuntKillMazeGen-19,0.0349,19,19
Debug-RecursiveMazeGen-21,0.0175,21,21
Debug-HuntKillMazeGen-21,0.0446,21,21
Debug-RecursiveMazeGen-23,0.0221,23,23
Debug-HuntKillMazeGen-23,0.0468,23,23
Debug-RecursiveMazeGen-25,0.0241,25,25
Debug-HuntKillMazeGen-25,0.0562,25,25
Debug-RecursiveMazeGen-27,0.0297,27,27
Debug-HuntKillMazeGen-27,0.0662,27,27
Debug-RecursiveMazeGen-29,0.0364,29,29
Debug-HuntKillMazeGen-29,0.0897,29,29
Debug-RecursiveMazeGen-31,0.0468,31,31
Debug-HuntKillMazeGen-31,0.0779,31,31
Debug-RecursiveMazeGen-33,0.0377,33,33
Debug-HuntKillMazeGen-33,0.0872,33,33
Debug-RecursiveMazeGen-35,0.05,35,35
Debug-HuntKillMazeGen-35,0.1136,35,35
Debug-RecursiveMazeGen-37,0.2422,37,37
Debug-HuntKillMazeGen-37,0.1331,37,37
Debug-RecursiveMazeGen-39,0.7137,39,39
Debug-HuntKillMazeGen-39,0.1455,39,39
Debug-RecursiveMazeGen-41,0.0644,41,41
Debug-HuntKillMazeGen-41,0.1322,41,41
Debug-RecursiveMazeGen-43,0.0556,43,43
Debug-HuntKillMazeGen-43,0.1637,43,43
Debug-RecursiveMazeGen-45,0.0901,45,45
Debug-HuntKillMazeGen-45,0.1584,45,45
Debug-RecursiveMazeGen-47,0.2209,47,47
Debug-HuntKillMazeGen-47,0.5232,47,47
Debug-RecursiveMazeGen-49,0.3044,49,49
Debug-HuntKillMazeGen-49,1.1184,49,49
Debug-RecursiveMazeGen-51,0.0833,51,51
Debug-HuntKillMazeGen-51,0.3063,51,51
Debug-RecursiveMazeGen-53,0.138,53,53
Debug-HuntKillMazeGen-53,0.2506,53,53
Debug-RecursiveMazeGen-55,0.2254,55,55
Debug-HuntKillMazeGen-55,0.2418,55,55
Debug-RecursiveMazeGen-57,0.2414,57,57
Debug-HuntKillMazeGen-57,0.2798,57,57
Debug-RecursiveMazeGen-59,0.1231,59,59
Debug-HuntKillMazeGen-59,0.3702,59,59
Debug-RecursiveMazeGen-61,0.1591,61,61
Debug-HuntKillMazeGen-61,0.4845,61,61
Debug-RecursiveMazeGen-63,0.1259,63,63
Debug-HuntKillMazeGen-63,0.3829,63,63
Debug-RecursiveMazeGen-65,0.1457,65,65
Debug-HuntKillMazeGen-65,0.7607,65,65
Debug-RecursiveMazeGen-67,0.2463,67,67
Debug-HuntKillMazeGen-67,0.4983,67,67
Debug-RecursiveMazeGen-69,0.1783,69,69
Debug-HuntKillMazeGen-69,0.3448,69,69
Debug-RecursiveMazeGen-71,0.1711,71,71
Debug-HuntKillMazeGen-71,0.4719,71,71
Debug-RecursiveMazeGen-73,0.1845,73,73
Debug-HuntKillMazeGen-73,0.5112,73,73
Debug-RecursiveMazeGen-75,0.2571,75,75
Debug-HuntKillMazeGen-75,5.7384,75,75
Debug-RecursiveMazeGen-77,0.1545,77,77
Debug-HuntKillMazeGen-77,0.3862,77,77
Debug-RecursiveMazeGen-79,0.4246,79,79
Debug-HuntKillMazeGen-79,0.3973,79,79
Debug-RecursiveMazeGen-81,0.1718,81,81
Debug-HuntKillMazeGen-81,0.4092,81,81
Debug-RecursiveMazeGen-83,0.177,83,83
Debug-HuntKillMazeGen-83,0.4378,83,83
Debug-RecursiveMazeGen-85,0.2465,85,85
Debug-HuntKillMazeGen-85,0.4664,85,85
Debug-RecursiveMazeGen-87,0.204,87,87
Debug-HuntKillMazeGen-87,0.4754,87,87
Debug-RecursiveMazeGen-89,0.2029,89,89
Debug-HuntKillMazeGen-89,0.5121,89,89
Debug-RecursiveMazeGen-91,0.501,91,91
Debug-HuntKillMazeGen-91,0.5776,91,91
Debug-RecursiveMazeGen-93,0.2401,93,93
Debug-HuntKillMazeGen-93,5.5493,93,93
Debug-RecursiveMazeGen-95,0.224,95,95
Debug-HuntKillMazeGen-95,0.5941,95,95
Debug-RecursiveMazeGen-97,0.2611,97,97
Debug-HuntKillMazeGen-97,0.5925,97,97
Debug-RecursiveMazeGen-99,0.2599,99,99
Debug-HuntKillMazeGen-99,1.1075,99,99
Debug-RecursiveMazeGen-101,0.2745,101,101
Debug-HuntKillMazeGen-101,0.9618,101,101
Debug-RecursiveMazeGen-103,0.5082,103,103
Debug-HuntKillMazeGen-103,0.8385,103,103
Debug-RecursiveMazeGen-105,0.2792,105,105
