MazeType,Time (ms),Width,Height
Release-HuntKillMazeGen-5,2.7265,5,5
Release-HuntKillMazeGen-9,0.0043,9,9
Release-HuntKillMazeGen-13,0.0127,13,13
Release-HuntKillMazeGen-17,0.013,17,17
Release-HuntKillMazeGen-21,0.0156,21,21
Release-HuntKillMazeGen-25,0.0197,25,25
Release-HuntKillMazeGen-29,0.0334,29,29
Release-HuntKillMazeGen-33,0.0387,33,33
Release-HuntKillMazeGen-37,0.0504,37,37
Release-HuntKillMazeGen-41,0.0615,41,41
Release-HuntKillMazeGen-45,0.0794,45,45
Release-HuntKillMazeGen-49,0.0883,49,49
Release-HuntKillMazeGen-53,0.0988,53,53
Release-HuntKillMazeGen-57,0.15,57,57
Release-HuntKillMazeGen-61,0.1826,61,61
Release-HuntKillMazeGen-65,0.1683,65,65
Release-HuntKillMazeGen-69,0.1916,69,69
Release-HuntKillMazeGen-73,0.2455,73,73
Release-HuntKillMazeGen-77,0.2872,77,77
Release-HuntKillMazeGen-81,0.2827,81,81
Release-HuntKillMazeGen-85,0.3489,85,85
Release-HuntKillMazeGen-89,0.4465,89,89
Release-HuntKillMazeGen-93,0.4839,93,93
Release-HuntKillMazeGen-97,0.5314,97,97
Release-HuntKillMazeGen-101,0.6155,101,101
Release-HuntKillMazeGen-105,0.6915,105,105
Release-HuntKillMazeGen-109,0.7683,109,109
Release-HuntKillMazeGen-113,1.0181,113,113
Release-HuntKillMazeGen-117,1.0676,117,117
Release-HuntKillMazeGen-121,1.1504,121,121
Release-HuntKillMazeGen-125,1.3515,125,125
Release-HuntKillMazeGen-129,1.4664,129,129
Release-HuntKillMazeGen-133,1.7053,133,133
Release-HuntKillMazeGen-137,1.8362,137,137
Release-HuntKillMazeGen-141,1.909,141,141
Release-HuntKillMazeGen-145,3.2094,145,145
Release-HuntKillMazeGen-149,2.7383,149,149
Release-HuntKillMazeGen-153,2.5362,153,153
Release-HuntKillMazeGen-157,3.1591,157,157
Release-HuntKillMazeGen-161,3.3906,161,161
Release-HuntKillMazeGen-165,3.7413,165,165
Release-HuntKillMazeGen-169,4.1308,169,169
Release-HuntKillMazeGen-173,4.2489,173,173
Release-HuntKillMazeGen-177,5.328,177,177
Release-HuntKillMazeGen-181,6.0594,181,181
Release-HuntKillMazeGen-185,6.1749,185,185
Release-HuntKillMazeGen-189,6.1238,189,189
Release-HuntKillMazeGen-193,6.352,193,193
Release-HuntKillMazeGen-197,7.1455,197,197
Release-HuntKillMazeGen-201,7.5414,201,201
Release-HuntKillMazeGen-205,8.7676,205,205
Release-HuntKillMazeGen-209,8.8181,209,209
Release-HuntKillMazeGen-213,9.0304,213,213
Release-HuntKillMazeGen-217,10.1332,217,217
Release-HuntKillMazeGen-221,11.8735,221,221
Release-HuntKillMazeGen-225,11.3035,225,225
Release-HuntKillMazeGen-229,11.526,229,229
Release-HuntKillMazeGen-233,14.0459,233,233
Release-HuntKillMazeGen-237,13.7196,237,237
Release-HuntKillMazeGen-241,14.657,241,241
Release-HuntKillMazeGen-245,15.3409,245,245
Release-HuntKillMazeGen-249,16.515,249,249
Release-HuntKillMazeGen-253,18.4238,253,253
Release-RecursiveMazeGen-5,2.277,5,5
Release-RecursiveMazeGen-9,0.0038,9,9
Release-RecursiveMazeGen-13,0.0137,13,13
Release-RecursiveMazeGen-17,0.0136,17,17
Release-RecursiveMazeGen-21,0.0172,21,21
Release-RecursiveMazeGen-25,0.0245,25,25
Release-RecursiveMazeGen-29,0.0295,29,29
Release-RecursiveMazeGen-33,0.0376,33,33
Release-RecursiveMazeGen-37,0.0489,37,37
Release-RecursiveMazeGen-41,0.1102,41,41
Release-RecursiveMazeGen-45,0.1737,45,45
Release-RecursiveMazeGen-49,0.0752,49,49
Release-RecursiveMazeGen-53,0.0917,53,53
Release-RecursiveMazeGen-57,0.237,57,57
Release-RecursiveMazeGen-61,0.1163,61,61
Release-RecursiveMazeGen-65,0.1325,65,65
Release-RecursiveMazeGen-69,0.1604,69,69
Release-RecursiveMazeGen-73,0.1717,73,73
Release-RecursiveMazeGen-77,0.1993,77,77
Release-RecursiveMazeGen-81,0.2304,81,81
Release-RecursiveMazeGen-85,0.2,85,85
Release-RecursiveMazeGen-89,0.2134,89,89
Release-RecursiveMazeGen-93,0.2227,93,93
Release-RecursiveMazeGen-97,0.2614,97,97
Release-RecursiveMazeGen-101,0.2594,101,101
Release-RecursiveMazeGen-105,0.2825,105,105
Release-RecursiveMazeGen-109,0.3071,109,109
Release-RecursiveMazeGen-113,0.3732,113,113
Release-RecursiveMazeGen-117,0.3599,117,117
Release-RecursiveMazeGen-121,0.3771,121,121
Release-RecursiveMazeGen-125,0.504,125,125
Release-RecursiveMazeGen-129,0.4235,129,129
Release-RecursiveMazeGen-133,0.5405,133,133
Release-RecursiveMazeGen-137,1.894,137,137
Release-RecursiveMazeGen-141,0.5138,141,141
Release-RecursiveMazeGen-145,0.6148,145,145
Release-RecursiveMazeGen-149,0.7631,149,149
Release-RecursiveMazeGen-153,0.5882,153,153
Release-RecursiveMazeGen-157,2.6556,157,157
Release-RecursiveMazeGen-161,0.6603,161,161
Release-RecursiveMazeGen-165,0.6966,165,165
Release-RecursiveMazeGen-169,0.7672,169,169
Release-RecursiveMazeGen-173,0.7531,173,173
Release-RecursiveMazeGen-177,0.759,177,177
Release-RecursiveMazeGen-181,0.7949,181,181
Release-RecursiveMazeGen-185,0.8619,185,185
Release-RecursiveMazeGen-189,0.9644,189,189
Release-RecursiveMazeGen-193,0.9108,193,193
Release-RecursiveMazeGen-197,3.5404,197,197
Release-RecursiveMazeGen-201,1.1365,201,201
Release-RecursiveMazeGen-205,1.02,205,205
Release-RecursiveMazeGen-209,1.0521,209,209
Release-RecursiveMazeGen-213,1.3745,213,213
Release-RecursiveMazeGen-217,3.867,217,217
Release-RecursiveMazeGen-221,1.1855,221,221
Release-RecursiveMazeGen-225,1.2213,225,225
Release-RecursiveMazeGen-229,1.4733,229,229
