MazeType,Time (ms),Width,Height
Debug-RecursiveMazeGen-5,2.0536,5,5
Debug-HuntKillMazeGen-5,1.6439,5,5
Debug-RecursiveMazeGen-7,0.0101,7,7
Debug-HuntKillMazeGen-7,0.0257,7,7
Debug-RecursiveMazeGen-9,0.0058,9,9
Debug-HuntKillMazeGen-9,0.0137,9,9
Debug-RecursiveMazeGen-11,0.0066,11,11
Debug-HuntKillMazeGen-11,0.0225,11,11
Debug-RecursiveMazeGen-13,0.0083,13,13
Debug-HuntKillMazeGen-13,0.0178,13,13
Debug-RecursiveMazeGen-15,0.0085,15,15
Debug-HuntKillMazeGen-15,0.0295,15,15
Debug-RecursiveMazeGen-17,0.0147,17,17
Debug-HuntKillMazeGen-17,0.04,17,17
Debug-RecursiveMazeGen-19,0.0172,19,19
Debug-HuntKillMazeGen-19,0.0398,19,19
Debug-RecursiveMazeGen-21,0.0172,21,21
Debug-HuntKillMazeGen-21,0.0485,21,21
Debug-RecursiveMazeGen-23,0.026,23,23
Debug-HuntKillMazeGen-23,0.053,23,23
Debug-RecursiveMazeGen-25,0.0323,25,25
Debug-HuntKillMazeGen-25,0.0686,25,25
Debug-RecursiveMazeGen-27,0.0319,27,27
Debug-HuntKillMazeGen-27,0.0845,27,27
Debug-RecursiveMazeGen-29,0.0326,29,29
Debug-HuntKillMazeGen-29,0.0819,29,29
Debug-RecursiveMazeGen-31,0.0567,31,31
Debug-HuntKillMazeGen-31,0.1629,31,31
Debug-RecursiveMazeGen-33,0.0896,33,33
Debug-HuntKillMazeGen-33,0.1095,33,33
Debug-RecursiveMazeGen-35,0.0482,35,35
Debug-HuntKillMazeGen-35,0.1173,35,35
Debug-RecursiveMazeGen-37,0.0478,37,37
Debug-HuntKillMazeGen-37,0.1343,37,37
Debug-RecursiveMazeGen-39,0.0559,39,39
Debug-HuntKillMazeGen-39,0.1442,39,39
Debug-RecursiveMazeGen-41,0.0639,41,41
Debug-HuntKillMazeGen-41,0.163,41,41
Debug-RecursiveMazeGen-43,0.0897,43,43
Debug-HuntKillMazeGen-43,0.2504,43,43
Debug-RecursiveMazeGen-45,0.077,45,45
Debug-HuntKillMazeGen-45,0.1919,45,45
Debug-RecursiveMazeGen-47,0.0752,47,47
Debug-HuntKillMazeGen-47,0.2015,47,47
Debug-RecursiveMazeGen-49,0.0891,49,49
Debug-HuntKillMazeGen-49,0.2353,49,49
Debug-RecursiveMazeGen-51,0.096,51,51
Debug-HuntKillMazeGen-51,0.2572,51,51
Debug-RecursiveMazeGen-53,0.113,53,53
Debug-HuntKillMazeGen-53,0.2641,53,53
Debug-RecursiveMazeGen-55,0.0998,55,55
Debug-HuntKillMazeGen-55,0.301,55,55
Debug-RecursiveMazeGen-57,0.1269,57,57
Debug-HuntKillMazeGen-57,0.3409,57,57
Debug-RecursiveMazeGen-59,0.1171,59,59
Debug-HuntKillMazeGen-59,0.932,59,59
Debug-RecursiveMazeGen-61,0.1333,61,61
Debug-HuntKillMazeGen-61,0.4932,61,61
Debug-RecursiveMazeGen-63,0.1443,63,63
Debug-HuntKillMazeGen-63,0.3766,63,63
Debug-RecursiveMazeGen-65,0.156,65,65
Debug-HuntKillMazeGen-65,0.4195,65,65
Debug-RecursiveMazeGen-67,0.1564,67,67
Debug-HuntKillMazeGen-67,0.4528,67,67
Debug-RecursiveMazeGen-69,0.1699,69,69
Debug-HuntKillMazeGen-69,0.4578,69,69
Debug-RecursiveMazeGen-71,0.1711,71,71
Debug-HuntKillMazeGen-71,0.4778,71,71
Debug-RecursiveMazeGen-73,0.1919,73,73
Debug-HuntKillMazeGen-73,0.5118,73,73
Debug-RecursiveMazeGen-75,0.1898,75,75
Debug-HuntKillMazeGen-75,0.5784,75,75
Debug-RecursiveMazeGen-77,0.1986,77,77
Debug-HuntKillMazeGen-77,2.1067,77,77
Debug-RecursiveMazeGen-79,0.1832,79,79
Debug-HuntKillMazeGen-79,0.7213,79,79
Debug-RecursiveMazeGen-81,0.1924,81,81
Debug-HuntKillMazeGen-81,0.5831,81,81
Debug-RecursiveMazeGen-83,0.2038,83,83
Debug-HuntKillMazeGen-83,0.6213,83,83
Debug-RecursiveMazeGen-85,0.2169,85,85
Debug-HuntKillMazeGen-85,0.6789,85,85
Debug-RecursiveMazeGen-87,0.2156,87,87
Debug-HuntKillMazeGen-87,0.7034,87,87
Debug-RecursiveMazeGen-89,0.2358,89,89
Debug-HuntKillMazeGen-89,0.8335,89,89
Debug-RecursiveMazeGen-91,0.2249,91,91
Debug-HuntKillMazeGen-91,0.75,91,91
Debug-RecursiveMazeGen-93,0.2449,93,93
Debug-HuntKillMazeGen-93,0.7882,93,93
Debug-RecursiveMazeGen-95,0.25,95,95
Debug-HuntKillMazeGen-95,0.9224,95,95
Debug-RecursiveMazeGen-97,0.2679,97,97
Debug-HuntKillMazeGen-97,0.8668,97,97
Debug-RecursiveMazeGen-99,0.2619,99,99
Debug-HuntKillMazeGen-99,1.2128,99,99
Debug-RecursiveMazeGen-101,0.2768,101,101
Debug-HuntKillMazeGen-101,0.9772,101,101
Debug-RecursiveMazeGen-103,0.3925,103,103
Debug-HuntKillMazeGen-103,1.7535,103,103
Debug-RecursiveMazeGen-105,0.3071,105,105
Debug-HuntKillMazeGen-105,1.2329,105,105
Debug-RecursiveMazeGen-107,0.3956,107,107
Debug-HuntKillMazeGen-107,1.267,107,107
Debug-RecursiveMazeGen-109,0.3543,109,109
Debug-HuntKillMazeGen-109,1.1471,109,109
Debug-RecursiveMazeGen-111,0.3373,111,111
Debug-HuntKillMazeGen-111,1.3566,111,111
Debug-RecursiveMazeGen-113,0.3646,113,113
Debug-HuntKillMazeGen-113,1.2273,113,113
Debug-RecursiveMazeGen-115,0.4078,115,115
Debug-HuntKillMazeGen-115,1.5679,115,115
Debug-RecursiveMazeGen-117,0.3686,117,117
Debug-HuntKillMazeGen-117,1.3311,117,117
Debug-RecursiveMazeGen-119,0.3724,119,119
Debug-HuntKillMazeGen-119,1.5355,119,119
Debug-RecursiveMazeGen-121,0.9685,121,121
Debug-HuntKillMazeGen-121,1.5142,121,121
Debug-RecursiveMazeGen-123,0.4503,123,123
Debug-HuntKillMazeGen-123,1.5658,123,123
Debug-RecursiveMazeGen-125,0.4288,125,125
Debug-HuntKillMazeGen-125,1.7696,125,125
Debug-RecursiveMazeGen-127,0.4327,127,127
Debug-HuntKillMazeGen-127,1.7784,127,127
Debug-RecursiveMazeGen-129,0.4544,129,129
Debug-HuntKillMazeGen-129,2.6633,129,129
Debug-RecursiveMazeGen-131,0.5621,131,131
Debug-HuntKillMazeGen-131,2.3759,131,131
Debug-RecursiveMazeGen-133,0.6082,133,133
Debug-HuntKillMazeGen-133,2.2012,133,133
Debug-RecursiveMazeGen-135,1.1388,135,135
Debug-HuntKillMazeGen-135,2.1961,135,135
Debug-RecursiveMazeGen-137,0.5194,137,137
Debug-HuntKillMazeGen-137,2.5958,137,137
Debug-RecursiveMazeGen-139,0.5138,139,139
Debug-HuntKillMazeGen-139,2.1535,139,139
Debug-RecursiveMazeGen-141,0.6358,141,141
Debug-HuntKillMazeGen-141,3.3296,141,141
Debug-RecursiveMazeGen-143,0.564,143,143
Debug-HuntKillMazeGen-143,2.4104,143,143
Debug-RecursiveMazeGen-145,0.5938,145,145
Debug-HuntKillMazeGen-145,3.7371,145,145
Debug-RecursiveMazeGen-147,0.8969,147,147
Debug-HuntKillMazeGen-147,3.1817,147,147
Debug-RecursiveMazeGen-149,0.6174,149,149
Debug-HuntKillMazeGen-149,2.897,149,149
Debug-RecursiveMazeGen-151,0.6145,151,151
Debug-HuntKillMazeGen-151,2.9391,151,151
Debug-RecursiveMazeGen-153,0.7059,153,153
Debug-HuntKillMazeGen-153,3.2256,153,153
Debug-RecursiveMazeGen-155,0.7825,155,155
Debug-HuntKillMazeGen-155,4.2479,155,155
Debug-RecursiveMazeGen-157,0.7041,157,157
Debug-HuntKillMazeGen-157,3.7887,157,157
Debug-RecursiveMazeGen-159,0.7976,159,159
Debug-HuntKillMazeGen-159,3.7475,159,159
Debug-RecursiveMazeGen-161,0.7604,161,161
Debug-HuntKillMazeGen-161,4.6815,161,161
Debug-RecursiveMazeGen-163,0.8884,163,163
Debug-HuntKillMazeGen-163,4.2129,163,163
Debug-RecursiveMazeGen-165,1.1999,165,165
Debug-HuntKillMazeGen-165,6.4765,165,165
Debug-RecursiveMazeGen-167,0.7594,167,167
Debug-HuntKillMazeGen-167,3.5516,167,167
Debug-RecursiveMazeGen-169,0.7696,169,169
Debug-HuntKillMazeGen-169,3.8586,169,169
Debug-RecursiveMazeGen-171,0.7147,171,171
Debug-HuntKillMazeGen-171,4.0001,171,171
Debug-RecursiveMazeGen-173,0.7406,173,173
Debug-HuntKillMazeGen-173,3.5882,173,173
Debug-RecursiveMazeGen-175,0.7402,175,175
Debug-HuntKillMazeGen-175,3.9859,175,175
Debug-RecursiveMazeGen-177,0.7913,177,177
Debug-HuntKillMazeGen-177,4.0285,177,177
Debug-RecursiveMazeGen-179,0.7749,179,179
Debug-HuntKillMazeGen-179,4.6106,179,179
Debug-RecursiveMazeGen-181,0.7874,181,181
Debug-HuntKillMazeGen-181,4.495,181,181
Debug-RecursiveMazeGen-183,0.8086,183,183
Debug-HuntKillMazeGen-183,4.2817,183,183
Debug-RecursiveMazeGen-185,0.8285,185,185
Debug-HuntKillMazeGen-185,5.1525,185,185
Debug-RecursiveMazeGen-187,0.8737,187,187
Debug-HuntKillMazeGen-187,4.8302,187,187
Debug-RecursiveMazeGen-189,1.0207,189,189
Debug-HuntKillMazeGen-189,4.7393,189,189
Debug-RecursiveMazeGen-191,0.9914,191,191
Debug-HuntKillMazeGen-191,4.9592,191,191
Debug-RecursiveMazeGen-193,1.0901,193,193
Debug-HuntKillMazeGen-193,5.3277,193,193
Debug-RecursiveMazeGen-195,0.9164,195,195
Debug-HuntKillMazeGen-195,5.4438,195,195
Debug-RecursiveMazeGen-197,0.9685,197,197
Debug-HuntKillMazeGen-197,5.9793,197,197
Debug-RecursiveMazeGen-199,0.9688,199,199
Debug-HuntKillMazeGen-199,6.1247,199,199
Debug-RecursiveMazeGen-201,1.028,201,201
Debug-HuntKillMazeGen-201,6.0842,201,201
Debug-RecursiveMazeGen-203,1.0115,203,203
Debug-HuntKillMazeGen-203,10.1863,203,203
Debug-RecursiveMazeGen-205,1.1332,205,205
Debug-HuntKillMazeGen-205,6.9228,205,205
Debug-RecursiveMazeGen-207,1.0305,207,207
Debug-HuntKillMazeGen-207,6.6586,207,207
Debug-RecursiveMazeGen-209,1.0668,209,209
Debug-HuntKillMazeGen-209,7.0721,209,209
Debug-RecursiveMazeGen-211,1.1575,211,211
Debug-HuntKillMazeGen-211,6.7938,211,211
Debug-RecursiveMazeGen-213,1.1528,213,213
Debug-HuntKillMazeGen-213,7.4688,213,213
Debug-RecursiveMazeGen-215,1.1602,215,215
Debug-HuntKillMazeGen-215,7.8924,215,215
Debug-RecursiveMazeGen-217,1.1311,217,217
Debug-HuntKillMazeGen-217,7.9754,217,217
Debug-RecursiveMazeGen-219,1.1764,219,219
Debug-HuntKillMazeGen-219,8.4089,219,219
Debug-RecursiveMazeGen-221,1.1786,221,221
Debug-HuntKillMazeGen-221,8.4081,221,221
Debug-RecursiveMazeGen-223,1.2864,223,223
Debug-HuntKillMazeGen-223,9.1751,223,223
Debug-RecursiveMazeGen-225,1.2422,225,225
Debug-HuntKillMazeGen-225,8.8563,225,225
Debug-RecursiveMazeGen-227,1.6061,227,227
Debug-HuntKillMazeGen-227,10.8858,227,227
Debug-RecursiveMazeGen-229,2.0143,229,229
Debug-HuntKillMazeGen-229,9.551,229,229
Debug-RecursiveMazeGen-231,1.3318,231,231
Debug-HuntKillMazeGen-231,9.1211,231,231
Debug-RecursiveMazeGen-233,4.3476,233,233
Debug-HuntKillMazeGen-233,9.3573,233,233
Debug-RecursiveMazeGen-235,1.4267,235,235
Debug-HuntKillMazeGen-235,10.0368,235,235
Debug-RecursiveMazeGen-237,2.7892,237,237
Debug-HuntKillMazeGen-237,10.5428,237,237
Debug-RecursiveMazeGen-239,1.4037,239,239
Debug-HuntKillMazeGen-239,11.2308,239,239
Debug-RecursiveMazeGen-241,3.4511,241,241
Debug-HuntKillMazeGen-241,11.2205,241,241
Debug-RecursiveMazeGen-243,1.6436,243,243
Debug-HuntKillMazeGen-243,11.1956,243,243
Debug-RecursiveMazeGen-245,7.2105,245,245
Debug-HuntKillMazeGen-245,10.5764,245,245
Debug-RecursiveMazeGen-247,1.5046,247,247
Debug-HuntKillMazeGen-247,12.0975,247,247
Debug-RecursiveMazeGen-249,5.2349,249,249
Debug-HuntKillMazeGen-249,11.6491,249,249
Debug-RecursiveMazeGen-251,1.536,251,251
Debug-HuntKillMazeGen-251,12.4254,251,251
Debug-RecursiveMazeGen-253,2.0272,253,253
Debug-HuntKillMazeGen-253,13.3304,253,253
Debug-RecursiveMazeGen-255,1.5828,255,255
Debug-HuntKillMazeGen-255,13.3282,255,255
Release-RecursiveMazeGen-5,2.277,5,5
Release-HuntKillMazeGen-5,2.7265,5,5
Release-RecursiveMazeGen-7,0.0147,7,7
Release-HuntKillMazeGen-7,0.0141,7,7
Release-RecursiveMazeGen-9,0.0038,9,9
Release-HuntKillMazeGen-9,0.0043,9,9
Release-RecursiveMazeGen-11,0.0052,11,11
Release-HuntKillMazeGen-11,0.0097,11,11
Release-RecursiveMazeGen-13,0.0137,13,13
Release-HuntKillMazeGen-13,0.0127,13,13
Release-RecursiveMazeGen-15,0.0131,15,15
Release-HuntKillMazeGen-15,0.0206,15,15
Release-RecursiveMazeGen-17,0.0136,17,17
Release-HuntKillMazeGen-17,0.013,17,17
Release-RecursiveMazeGen-19,0.0111,19,19
